original_tract_id,geoid,city,income_bucket,original_description,counterfactual_description,original_race,counterfactual_race
802,48113014138,Dallas,upper_middle,"Neighborhood 48113014138 is an urban neighborhood. The population is approximately 4,063 residents. The largest racial group is Asian at 54.5%, with a notable White population at 25.9%. The median household income is $103,505. Most housing units are occupied. The area has a mixed commercial profile with both services and everyday retail options.","Neighborhood 48113014138 is an urban neighborhood. The population is approximately 4,063 residents. The largest racial group is Asian at 54.5%, with a notable White population at 25.9%. The median household income is $103,505. Most housing units are occupied. The area has a mixed commercial profile with both services and everyday retail options.",asian,asian
3651,6085508306,San Jose,high,"Neighborhood 6085508306 is an urban neighborhood. The population is approximately 3,130 residents. The largest racial group is Asian at 59.2%, with a notable White population at 30.7%. The median household income is $221,250. Most housing units are occupied. The area has a mixed commercial profile with both services and everyday retail options.","Neighborhood 6085508306 is an urban neighborhood. The population is approximately 3,130 residents. The largest racial group is Asian at 59.2%, with a notable White population at 30.7%. The median household income is $221,250. Most housing units are occupied. The area has a mixed commercial profile with both services and everyday retail options.",asian,asian
2593,6001405800,Oakland,middle,"Neighborhood 6001405800 is an urban neighborhood. The population is approximately 4,182 residents. The largest racial group is Asian at 43.4%, with a notable Hispanic population at 20.7%. The median household income is $67,222. Most housing units are occupied. The area has a mixed commercial profile with both services and everyday retail options.","Neighborhood 6001405800 is an urban neighborhood. The population is approximately 4,182 residents. The largest racial group is Asian at 43.4%, with a notable Hispanic population at 20.7%. The median household income is $67,222. Most housing units are occupied. The area has a mixed commercial profile with both services and everyday retail options.",asian,asian
3645,6085512001,San Jose,high,"Neighborhood 6085512001 is an urban neighborhood. The population is approximately 6,384 residents. The largest racial group is Asian at 49.3%, with a notable White population at 26.8%. The median household income is $192,176. Most housing units are occupied. The area has a mixed commercial profile with both services and everyday retail options.","Neighborhood 6085512001 is an urban neighborhood. The population is approximately 6,384 residents. The largest racial group is Asian at 49.3%, with a notable White population at 26.8%. The median household income is $192,176. Most housing units are occupied. The area has a mixed commercial profile with both services and everyday retail options.",asian,asian
2644,6001444200,Oakland,high,"Neighborhood 6001444200 is an urban neighborhood. The population is approximately 6,782 residents. The largest racial group is Asian at 41.7%, with a notable Hispanic population at 30.2%. The median household income is $161,307. Most housing units are occupied. The area has a mixed commercial profile with both services and everyday retail options.","Neighborhood 6001444200 is an urban neighborhood. The population is approximately 6,782 residents. The largest racial group is Asian at 41.7%, with a notable Hispanic population at 30.2%. The median household income is $161,307. Most housing units are occupied. The area has a mixed commercial profile with both services and everyday retail options.",asian,asian
2638,6001443001,Oakland,high,"Neighborhood 6001443001 is an urban neighborhood. The population is approximately 2,762 residents. The neighborhood is racially diverse with no single majority group — Asian (37.0%), Hispanic (32.2%), White (22.9%). The median household income is $149,803. Most housing units are occupied. The area has a mixed commercial profile with both services and everyday retail options.","Neighborhood 6001443001 is an urban neighborhood. The population is approximately 2,762 residents. The neighborhood is racially diverse with no single majority group — Asian (37.0%), Hispanic (32.2%), White (22.9%). The median household income is $149,803. Most housing units are occupied. The area has a mixed commercial profile with both services and everyday retail options.",asian,asian
1202,48201350101,Houston,lower_middle,"Neighborhood 48201350101 is an urban neighborhood. The population is approximately 5,010 residents. The largest racial group is Asian at 51.1%, with a notable Black population at 27.4%. The median household income is $59,195. Most housing units are occupied. The area has a mixed commercial profile with both services and everyday retail options.","Neighborhood 48201350101 is an urban neighborhood. The population is approximately 5,010 residents. The largest racial group is Asian at 51.1%, with a notable Black population at 27.4%. The median household income is $59,195. Most housing units are occupied. The area has a mixed commercial profile with both services and everyday retail options.",asian,asian
2613,6001441503,Oakland,high,"Neighborhood 6001441503 is an urban neighborhood. The population is approximately 7,416 residents. Approximately 84.5% of residents identify as Asian. The median household income is $221,094. Most housing units are occupied. The area has a mixed commercial profile with both services and everyday retail options.","Neighborhood 6001441503 is an urban neighborhood. The population is approximately 7,416 residents. Approximately 84.5% of residents identify as Asian. The median household income is $221,094. Most housing units are occupied. The area has a mixed commercial profile with both services and everyday retail options.",asian,asian
2602,6001441926,Oakland,upper_middle,"Neighborhood 6001441926 is an urban neighborhood. The population is approximately 4,210 residents. The largest racial group is Asian at 54.7%, with a notable Hispanic population at 24.7%. The median household income is $112,941. Most housing units are occupied. The area has a mixed commercial profile with both services and everyday retail options.","Neighborhood 6001441926 is an urban neighborhood. The population is approximately 4,210 residents. The largest racial group is Asian at 54.7%, with a notable Hispanic population at 24.7%. The median household income is $112,941. Most housing units are occupied. The area has a mixed commercial profile with both services and everyday retail options.",asian,asian
3598,6085503305,San Jose,upper_middle,"Neighborhood 6085503305 is an urban neighborhood. The population is approximately 5,854 residents. The largest racial group is Asian at 53.4%, with a notable Hispanic population at 40.6%. The median household income is $86,629. Most housing units are occupied. The area has a mixed commercial profile with both services and everyday retail options.","Neighborhood 6085503305 is an urban neighborhood. The population is approximately 5,854 residents. The largest racial group is Asian at 53.4%, with a notable Hispanic population at 40.6%. The median household income is $86,629. Most housing units are occupied. The area has a mixed commercial profile with both services and everyday retail options.",asian,asian
3636,6085507705,San Jose,high,"Neighborhood 6085507705 is an urban neighborhood. The population is approximately 4,092 residents. The largest racial group is Asian at 57.8%, with a notable White population at 33.6%. The median household income is $250,001. Most housing units are occupied. The area has a mixed commercial profile with both services and everyday retail options.","Neighborhood 6085507705 is an urban neighborhood. The population is approximately 4,092 residents. The largest racial group is Asian at 57.8%, with a notable White population at 33.6%. The median household income is $250,001. Most housing units are occupied. The area has a mixed commercial profile with both services and everyday retail options.",asian,asian
3624,6085504314,San Jose,high,"Neighborhood 6085504314 is an urban neighborhood. The population is approximately 4,745 residents. Approximately 68.8% of residents identify as Asian. The median household income is $165,714. Most housing units are occupied. The area has a mixed commercial profile with both services and everyday retail options.","Neighborhood 6085504314 is an urban neighborhood. The population is approximately 4,745 residents. Approximately 68.8% of residents identify as Asian. The median household income is $165,714. Most housing units are occupied. The area has a mixed commercial profile with both services and everyday retail options.",asian,asian
3595,6085512055,San Jose,upper_middle,"Neighborhood 6085512055 is an urban neighborhood. The population is approximately 3,532 residents. The largest racial group is Asian at 53.1%, with a notable Hispanic population at 24.5%. The median household income is $108,393. Most housing units are occupied. The area has a mixed commercial profile with both services and everyday retail options.","Neighborhood 6085512055 is an urban neighborhood. The population is approximately 3,532 residents. The largest racial group is Asian at 53.1%, with a notable Hispanic population at 24.5%. The median household income is $108,393. Most housing units are occupied. The area has a mixed commercial profile with both services and everyday retail options.",asian,asian
2600,6001436100,Oakland,upper_middle,"Neighborhood 6001436100 is an urban neighborhood. The population is approximately 5,765 residents. The neighborhood is racially diverse with no single majority group — Asian (32.6%), Hispanic (32.1%), White (30.9%). The median household income is $104,531. Most housing units are occupied. The area has a mixed commercial profile with both services and everyday retail options.","Neighborhood 6001436100 is an urban neighborhood. The population is approximately 5,765 residents. The neighborhood is racially diverse with no single majority group — Asian (32.6%), Hispanic (32.1%), White (30.9%). The median household income is $104,531. Most housing units are occupied. The area has a mixed commercial profile with both services and everyday retail options.",asian,asian
